SNR_dB,Frames,Bit_Errors,BER,FER
0.0,50,64734,0.129468,1.0
0.5,50,52854,0.105708,1.0
1.0,51,33723,0.0661235294117647,0.9803921568627451
1.5,8827,11668,0.0001321853404327631,0.005664438654129376
2.0,10000,66,6.6e-07,0.0022
2.5,10000,27,2.7e-07,0.0009
3.0,10000,27,2.7e-07,0.0009
