SNR_dB,Frames,Bit_Errors,BER,FER
0.0,58,715,0.12327586206896551,0.8620689655172413
0.5,71,636,0.0895774647887324,0.704225352112676
1.0,82,569,0.06939024390243903,0.6097560975609756
1.5,152,520,0.034210526315789476,0.32894736842105265
2.0,217,505,0.023271889400921657,0.2304147465437788
2.5,493,484,0.009817444219066936,0.10141987829614604
3.0,1026,484,0.004717348927875243,0.04873294346978557
