SNR_dB,Frames,Bit_Errors,BER,FER
0.0,50,7947,0.15894,1.0
0.5,50,7116,0.14232,1.0
1.0,50,6112,0.12224,1.0
1.5,50,4969,0.09938,1.0
2.0,82,4219,0.05145121951219512,0.6097560975609756
2.5,426,3903,0.009161971830985915,0.11737089201877934
3.0,10000,3102,0.0003102,0.0045
